Time,CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ROOMX1::Des Sens Cool Load [W],CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ROOMX1::Des Cool Mass Flow [kg/s],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ENTRANCE::Des Sens Cool Load [W],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ENTRANCE::Des Cool Mass Flow [kg/s],CELLS:ROOMX2::Des Heat Load [W],CELLS:ROOMX2::Des Sens Cool Load [W],CELLS:ROOMX2::Des Heat Mass Flow [kg/s],CELLS:ROOMX2::Des Cool Mass Flow [kg/s]
16:20:00,4.331618E+02,0.000000E+00,2.202578E-02,0.000000E+00,6.491997E+02,0.000000E+00,4.181893E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
16:30:00,4.331626E+02,0.000000E+00,2.202582E-02,0.000000E+00,6.492137E+02,0.000000E+00,4.181983E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
16:40:00,4.331633E+02,0.000000E+00,2.202586E-02,0.000000E+00,6.492277E+02,0.000000E+00,4.182072E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
16:50:00,4.331640E+02,0.000000E+00,2.202590E-02,0.000000E+00,6.492416E+02,0.000000E+00,4.182162E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
17:00:00,4.331647E+02,0.000000E+00,2.202593E-02,0.000000E+00,6.492555E+02,0.000000E+00,4.182252E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
17:10:00,4.331655E+02,0.000000E+00,2.202597E-02,0.000000E+00,6.492693E+02,0.000000E+00,4.182341E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
17:20:00,4.331662E+02,0.000000E+00,2.202601E-02,0.000000E+00,6.492832E+02,0.000000E+00,4.182430E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
17:30:00,4.331669E+02,0.000000E+00,2.202604E-02,0.000000E+00,6.492969E+02,0.000000E+00,4.182519E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
17:40:00,4.331676E+02,0.000000E+00,2.202608E-02,0.000000E+00,6.493107E+02,0.000000E+00,4.182607E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
17:50:00,4.331683E+02,0.000000E+00,2.202612E-02,0.000000E+00,6.493244E+02,0.000000E+00,4.182696E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
18:00:00,4.331691E+02,0.000000E+00,2.202615E-02,0.000000E+00,6.493381E+02,0.000000E+00,4.182784E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
18:10:00,4.331698E+02,0.000000E+00,2.202619E-02,0.000000E+00,6.493518E+02,0.000000E+00,4.182872E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
18:20:00,4.331705E+02,0.000000E+00,2.202622E-02,0.000000E+00,6.493654E+02,0.000000E+00,4.182960E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
